date,value
2005-04-01,2686144019.96828
2005-05-01,2707690629.75412
2005-06-01,2585593174.30101
2005-07-01,2556864361.25322
2005-08-01,2592775377.56296
2005-09-01,2621504190.61075
2005-10-01,2564046564.51517
2005-11-01,2643050800.39659
2005-12-01,2962658845.55324
2006-01-01,2876472406.40988
2006-02-01,3106302910.79219
2006-03-01,3278675789.07892
2006-04-01,2980614353.70811
2006-05-01,3138622825.47095
2006-06-01,3120667317.31608
2006-07-01,2890836812.93377
2006-08-01,2826196983.57625
2006-09-01,2808241475.42138
2006-10-01,2682552918.3373
2006-11-01,2908792321.08864
2006-12-01,3041663081.43466
2007-01-01,3012934268.38688
2007-02-01,3221218162.98335
2007-03-01,3562372817.92584
2007-04-01,3260720280.92406
2007-05-01,3303813500.49574
2007-06-01,3303813500.49574
2007-07-01,2740010544.43288
2007-08-01,3084756301.00635
2007-09-01,3066800792.85148
2007-10-01,3009343166.7559
2007-11-01,3181716045.04264
2007-12-01,3181716045.04264
2008-01-01,3583919427.71168
2008-02-01,3501324090.19929
2008-03-01,3695243578.27186
2008-04-01,3289449093.97184
2008-05-01,3188898248.30458
2008-06-01,3009343166.7559
2008-07-01,2998569861.86298
2008-08-01,2905201219.45767
2008-09-01,2883654609.67182
2008-10-01,2865699101.51696
2008-11-01,2930338930.87448
2008-12-01,3056027487.95856
2009-01-01,3364862228.22229
2009-02-01,3415137651.05592
2009-03-01,3138622825.47095
2009-04-01,2980614353.70811
2009-05-01,3012934268.38688
2009-06-01,2959067743.92227
2009-07-01,2854925796.62403
2009-08-01,2955476642.2913
2009-09-01,2804650373.7904
2009-10-01,2966249947.18422
2009-11-01,2930338930.87448
2009-12-01,3188898248.30458
2010-01-01,3436684260.84176
2010-02-01,3433093159.21079
2010-03-01,3221218162.98335
2010-04-01,2941112235.7674
2010-05-01,2966249947.18422
2010-06-01,2915974524.35059
2010-07-01,2951885540.66032
2010-08-01,2765148255.8497
2010-09-01,2718463934.64704
2010-10-01,2994978760.23201
2010-11-01,2847743593.36209
2010-12-01,3285857992.34087
2011-01-01,3501324090.19929
2011-02-01,3389999939.63911
2011-03-01,3609057139.1285
2011-04-01,3142213927.10193
2011-05-01,3063209691.22051
2011-06-01,3023707573.2798
2011-07-01,2980614353.70811
2011-08-01,2937521134.13643
2011-09-01,2790285967.26651
2011-10-01,2930338930.87448
2011-11-01,2793877068.89748
2011-12-01,3307404602.12671
2012-01-01,3548008411.40195
2012-02-01,3627012647.28337
2012-03-01,3565963919.55681
2012-04-01,3131440622.209
2012-05-01,3117076215.68511
2012-06-01,3009343166.7559
2012-07-01,2980614353.70811
2012-08-01,2915974524.35059
2012-09-01,2865699101.51696
2012-10-01,3016525370.01785
2012-11-01,2998569861.86298
2012-12-01,3372044431.48424
2013-01-01,3738336797.84355
2013-02-01,3763474509.26036
2013-03-01,3828114338.61789
2013-04-01,3357680024.96034
2013-05-01,3239173671.13821
2013-06-01,3214035959.7214
2013-07-01,3160169435.25679
2013-08-01,3099120707.53024
2013-09-01,3239173671.13821
2013-10-01,3206853756.45945
2013-11-01,3131440622.209
2013-12-01,3810158830.46302
2014-01-01,3928665184.28515
2014-02-01,3892754167.97542
2014-03-01,3838887643.51081
2014-04-01,3533644004.87805
2014-05-01,3375635533.11521
2014-06-01,3300222398.86477
2014-07-01,3156578333.62582
2014-08-01,3239173671.13821
2014-09-01,3350497821.6984
2014-10-01,3285857992.34087
2014-11-01,3307404602.12671
2014-12-01,3838887643.51081
2015-01-01,3989713912.0117
2015-02-01,3960985098.96391
2015-03-01,4065127046.26215
2015-04-01,3745519001.1055
2015-05-01,3562372817.92584
2015-06-01,3429502057.57982
2015-07-01,3235582569.50724
2015-08-01,3465413073.88955
2015-09-01,3422319854.31787
2015-10-01,3472595277.1515
2015-11-01,3454639768.99663
2015-12-01,3917891879.39223
2016-01-01,4280593144.12057
2016-02-01,4054353741.36923
2016-03-01,4373961786.52588
2016-04-01,3637785952.17629
2016-05-01,3533644004.87805
2016-06-01,3422319854.31787
2016-07-01,3293040195.60282
2016-08-01,3483368582.04442
2016-09-01,3368453329.85326
2016-10-01,3526461801.6161
2016-11-01,3598283834.23558
2016-12-01,3892754167.97542
2017-01-01,3975349505.48781
2017-02-01,4072309249.5241
2017-03-01,4435010514.25243
2017-04-01,3853252050.0347
2017-05-01,3763474509.26036
2017-06-01,3662923663.5931
2017-07-01,3802976627.20108
2017-08-01,3892754167.97542
2017-09-01,3702425781.53381
2017-10-01,3871207558.18957
2017-11-01,3652150358.70018
2017-12-01,4086673656.04799
2018-01-01,4474512632.19314
2018-02-01,4248273229.4418
2018-03-01,4549925766.44359
2018-04-01,4241091026.17986
2018-05-01,3914300777.76126
2018-06-01,3612648240.75947
2018-07-01,3846069846.77276
2018-08-01,3799385525.5701
2018-09-01,3820932135.35594
2018-10-01,4223135518.02499
2018-11-01,3903527472.86833
2018-12-01,3885571964.71347
2019-01-01,4686387628.42059
2019-02-01,4320095262.06128
2019-03-01,4549925766.44359
2019-04-01,4388326193.04978
2019-05-01,4381143989.78783
2019-06-01,3889163066.34444
2019-07-01,3917891879.39223
2019-08-01,3788612220.67718
2019-09-01,3702425781.53381
2019-10-01,3950211794.07099
2019-11-01,3759883407.62939
2019-12-01,4079491452.78604
2020-01-01,4373961786.52588
2020-02-01,4359597380.00199
2020-03-01,3565963919.55681
2020-04-01,2388082584.59746
2020-05-01,2919565625.98156
2020-06-01,3425910955.94884
2020-07-01,3853252050.0347
2020-08-01,3440275362.47274
2020-09-01,3838887643.51081
2020-10-01,4004078318.5356
2020-11-01,4025624928.32144
2020-12-01,4424237209.35951
2021-01-01,4542743563.18164
2021-02-01,4567881274.59846
2021-03-01,4370370684.89491
2021-04-01,4144131282.14357
2021-05-01,3885571964.71347
2021-06-01,4248273229.4418
2021-07-01,4029216029.95241
2021-08-01,4104629164.20286
2021-09-01,4129766875.61967
2021-10-01,4215953314.76304
2021-11-01,4266228737.59667
2021-12-01,4664841018.63474
2022-01-01,4944946945.85069
2022-02-01,5124502027.39937
2022-03-01,5519523206.80647
2022-04-01,4761800762.67103
2022-05-01,4639703307.21793
2022-06-01,4740254152.88519
2022-07-01,3939438489.17807
2022-08-01,4097446960.94091
2022-09-01,4011260521.79754
2022-10-01,4158495688.66746
2022-11-01,4061535944.63117
2022-12-01,4614565595.80111
2023-01-01,4668432120.26572
2023-02-01,4521196953.3958
2023-03-01,4065127046.26215
2023-04-01,3612648240.75947
2023-05-01,3810158830.46302
2023-06-01,3899936371.23736
2023-07-01,3723972391.31965
2023-08-01,4108220265.83383
2023-09-01,4101038062.57189
2023-10-01,3917891879.39223
2023-11-01,4032807131.58339
2023-12-01,4758209661.04006
2024-01-01,4722298644.73032
2024-02-01,4560699071.33651
2024-03-01,4136949078.88162
2024-04-01,3802976627.20108
2024-05-01,4093855859.30994
2024-06-01,3896345269.60639
2024-07-01,3810158830.46302
2024-08-01,4000487216.90462
2024-09-01,4011260521.79754
2024-10-01,3925074082.65418
2024-11-01,3849660948.40373
2024-12-01,4596610087.64625
2025-01-01,4679205425.15864
2025-02-01,4435010514.25243
2025-03-01,4036398233.21436
2025-04-01,3878389761.45152
2025-05-01,4212362213.13207
2025-06-01,4050762639.73826
2025-07-01,4154904587.03649
2025-08-01,4039989334.84533
2025-09-01,4093855859.30994
2025-10-01,4237499924.54888
2025-11-01,4223135518.02499
2025-12-01,4614565595.80111
2026-01-01,5171186348.60203
